run_id;date;parent_run_id;status;accepted_or_rejected;main_parameter;main_to;dependent_parameter;dependent_to;strategy_family;profile_mode;min_spy_channel_r2;max_avg_profile_distance;enable_close_vs_sma50_filter;max_close_vs_sma50_pct;top_candidates_next_week;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_avg_net_return_pct;w24_avg_net_return_pct;w52_avg_net_return_pct;w8_total_net_pnl_dollars;w24_total_net_pnl_dollars;w52_total_net_pnl_dollars;w8_spy_compare;w24_spy_compare;w52_spy_compare;run_dir
EXP_1339;2026-05-02 17:55:05;EXP_1335;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.63;;;;;;;;;;1;1;12;2;2;24;2;2;8;0;0;6;0;0;10;7,02;7,02;3,06166666667;70,2;70,2;367,4;8,95597799414;8,95597799414;2,75063844017;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1339_260502174806
EXP_1361;2026-05-02 18:28:10;EXP_1335;run_ok;rejected;TOP_SIMILAR_SPY_WEEKS;28;;;;;;;;;;1;1;14;2;2;28;2;2;7;0;0;8;0;0;13;9,52;9,52;2,12714285714;95,2;95,2;297,8;11,4559779941;11,4559779941;1,81269490669;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1361_260502181824
EXP_1368;2026-05-02 18:39:11;EXP_1335;run_ok;rejected;TOP_CANDIDATES_NEXT_WEEK;3;;;;;;;;;;1;1;12;3;3;36;3;3;11;0;0;13;0;0;12;7,85333333333;7,85333333333;2,07555555556;117,8;117,8;373,6;9,78931132748;9,78931132748;1,76452732906;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1368_260502183207
EXP_1377;2026-05-02 18:50:48;EXP_1335;run_ok;accepted;MAX_CLOSE_VS_SMA50_PCT;0.6;;;;;;;;;;1;1;11;2;2;22;2;2;7;0;0;7;0;0;8;7,02;7,02;2,83818181818;70,2;70,2;312,2;8,95597799414;8,95597799414;2,52974274838;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1377_260502184417
EXP_1378;2026-05-02 18:58:04;EXP_1377;run_ok;accepted;MAX_CLOSE_VS_SMA50_PCT;0.3;;;;;;;;;;1;1;8;2;2;16;2;2;7;0;0;4;0;0;5;7,02;7,02;4,8325;70,2;70,2;386,6;8,95597799414;8,95597799414;4,88023090978;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1378_260502185105
EXP_1380;2026-05-02 19:11:29;EXP_1378;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.5;;;;;;;;;;3;5;12;6;10;24;3;5;10;2;2;6;1;3;8;1,35333333333;3,32;4,02;40,6;166;482,4;1,07545918752;2,6531722916;3,61264422851;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1380_260502185854
EXP_1381;2026-05-02 19:18:33;EXP_1380;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.47;;;;;;;;;;3;5;12;6;10;24;3;5;10;2;2;6;1;3;8;1,35333333333;3,32;4,02;40,6;166;482,4;1,07545918752;2,6531722916;3,61264422851;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1381_260502191144
EXP_1382;2026-05-02 19:25:50;EXP_1380;run_ok;accepted;MAX_CLOSE_VS_SMA50_PCT;0.15;;;;;;;;;;3;5;12;6;10;24;2;4;9;2;2;6;2;4;9;0,686666666667;2,92;3,85333333333;20,6;146;462,4;0,40879252085;2,2531722916;3,44597756184;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1382_260502191846
EXP_1386;2026-05-02 19:34:28;EXP_1382;run_ok;rejected;MAX_CLOSE_VS_SMA50_PCT;0.1;;;;;;;;;;3;5;12;6;10;24;2;4;9;2;2;6;2;4;9;0,686666666667;2,92;3,85333333333;20,6;146;462,4;0,40879252085;2,2531722916;3,44597756184;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1386_260502192753
EXP_1422;2026-05-02 20:45:30;EXP_1382;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.6;;;;;;;;;;1;1;8;2;2;16;2;2;7;0;0;4;0;0;5;7,02;7,02;4,8325;70,2;70,2;386,6;8,95597799414;8,95597799414;4,88023090978;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1422_260502203814
